Contig:MEG_814xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
24	1:0.93	1:0.77	1:1.00	0:1.00
31	1:0.83	1:1.00	0:1.00	0:0.99
32	1:0.96	1:1.00	1:1.00	0:1.00
33	0:0.51	1:0.76	1:0.53	0:1.00
36	1:0.92	1:0.75	1:0.73	0:0.99
43	1:0.97	1:1.00	1:1.00	0:1.00
44	1:0.95	1:1.00	1:1.00	0:0.99
47	1:0.78	1:0.80	1:0.69	0:0.99
48	1:0.70	1:1.00	0:0.61	0:1.00
51	1:0.92	0:0.89	1:1.00	0:0.99
53	1:0.65	0:0.79	0:0.65	0:0.99
56	0:0.95	1:1.00	1:0.78	0:1.00
60	1:0.98	1:0.96	1:0.99	0:0.99
66	1:0.99	1:1.00	1:0.98	0:0.99
198	1:0.99	1:0.98	1:0.99	0:0.99
207	1:0.97	0:1.00	1:0.98	0:0.99
477	0:1.00	0:0.99	1:0.96	0:1.00
677	0:1.00	0:0.99	1:0.96	0:0.99
