Contig:MEG_5437xxDrugsxxbetalactamsxxClass_C_betalactamasesxxPDC,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5
19	0:1.00	1:0.93	0:0.99	0:0.98	1:1.00	0:1.00
81	0:1.00	1:0.99	0:0.99	1:0.98	1:1.00	1:1.00
163	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	1:0.99
363	0:1.00	1:0.98	0:0.99	1:0.98	1:1.00	1:0.97
464	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	1:0.96
539	0:0.99	0:0.99	0:0.99	1:0.95	0:1.00	1:1.00
613	0:1.00	1:0.99	0:0.99	2:0.99	1:1.00	2:0.96
620	0:0.98	1:0.99	1:0.97	1:0.96	1:1.00	1:0.98
621	0:0.99	1:0.99	1:0.98	1:0.98	1:1.00	1:0.96
690	0:0.99	0:1.00	1:0.97	0:0.98	0:1.00	0:0.95
957	0:1.00	1:0.96	0:0.99	0:0.99	1:1.00	0:1.00
966	0:0.99	0:0.98	0:0.98	1:0.97	0:1.00	1:0.96
1032	0:1.00	1:0.99	1:0.98	0:1.00	1:1.00	0:0.99
1066	0:0.99	1:1.00	0:0.99	1:0.98	0:1.00	0:0.85
1067	0:0.99	0:0.89	0:0.99	0:0.82	1:1.00	1:0.97
1068	0:0.99	1:0.99	1:0.88	1:0.97	0:0.93	0:0.96
1086	0:1.00	1:0.99	0:1.00	0:0.99	1:1.00	0:1.00
1172	0:0.99	1:0.99	1:0.98	0:0.99	1:1.00	0:1.00
