Contig:MEG_869xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5
8	1:0.98	0:1.00	1:0.99	0:1.00	0:0.98	0:1.00
35	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99
56	0:1.00	0:0.99	1:0.52	0:1.00	0:0.99	0:1.00
206	1:0.98	1:0.97	1:0.99	1:0.97	1:0.93	1:0.98
207	1:0.96	0:1.00	1:0.99	0:0.98	0:0.99	0:0.99
261	0:0.99	0:0.99	0:0.99	1:0.94	0:0.99	0:0.99
320	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00
370	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98
377	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98
496	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97
595	0:1.00	1:0.89	0:0.99	0:0.99	0:1.00	0:0.99
620	0:1.00	0:0.98	0:1.00	0:0.99	0:0.87	0:0.99
677	1:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
695	0:1.00	1:0.92	0:0.99	0:0.99	0:1.00	0:0.99
779	0:0.99	0:0.98	0:0.99	0:1.00	0:0.89	0:0.99
783	0:1.00	0:0.98	0:1.00	0:0.99	0:0.91	0:1.00
786	0:1.00	0:0.98	0:1.00	0:1.00	0:0.91	0:0.99
