Contig:MEG_5272xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
9	0:0.99	1:0.96	1:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
16	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
46	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99
66	0:0.99	1:0.96	0:1.00	0:0.99	0:0.99	0:0.96	0:0.98	0:0.98	0:1.00	0:0.99
145	0:1.00	0:0.98	1:1.00	0:0.98	1:1.00	1:1.00	0:0.98	0:0.99	1:0.99	0:1.00
153	1:1.00	1:0.92	1:0.92	1:0.93	1:0.91	1:0.72	1:1.00	0:1.00	1:0.98	0:1.00
327	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	1:1.00	1:0.93	0:1.00	0:1.00
334	0:0.96	0:0.97	0:0.98	1:0.95	0:0.97	0:0.98	0:0.97	0:0.97	0:0.99	0:0.97
411	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
500	1:0.93	0:0.98	0:1.00	1:0.98	1:1.00	0:1.00	1:0.97	1:0.97	1:0.99	0:1.00
615	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:0.99
