Contig:MEG_2164xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
21	1:0.97	1:0.98	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:0.98	0:1.00	0:0.99	0:1.00
43	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.77	0:1.00
138	1:0.98	1:0.89	1:0.98	1:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
139	0:1.00	1:0.92	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00
147	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00
168	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00	1:0.95	1:0.97	0:0.98	0:0.99	0:0.99	0:0.98
207	0:0.98	0:0.99	1:0.96	0:0.99	0:0.98	0:0.99	0:1.00	0:0.98	1:0.94	0:0.99	0:0.99	0:0.99	0:0.94
208	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00
239	1:0.99	1:0.97	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00	1:0.98	0:0.98	1:1.00	1:0.97	0:0.99	0:0.98
275	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	0:0.98
313	0:1.00	0:0.99	0:1.00	1:0.95	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
315	0:1.00	0:1.00	1:0.97	1:0.97	0:0.99	0:0.99	0:0.99	1:0.97	1:0.96	0:0.99	0:0.99	0:1.00	0:0.99
342	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99	1:0.97	0:0.98	0:0.99	0:0.99	0:0.98	0:1.00
349	1:0.93	0:0.97	0:1.00	1:0.94	0:0.96	0:0.96	0:0.99	0:0.95	0:0.97	0:0.94	0:0.97	0:0.98	0:0.97
370	0:0.93	0:0.95	0:1.00	0:0.96	0:0.95	0:0.97	0:1.00	0:0.95	0:0.96	0:0.96	0:0.95	0:0.96	0:0.94
375	0:0.96	0:0.98	0:0.99	0:0.98	0:0.98	0:0.98	0:0.99	1:0.94	0:0.98	0:0.97	0:0.98	0:0.98	0:0.97
427	1:0.97	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
453	0:0.94	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	1:0.98	0:0.98	0:0.98	0:0.99	0:0.98	0:0.98
508	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
539	0:0.98	0:0.97	0:1.00	0:0.97	0:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:1.00	1:1.00	0:0.98	0:0.98
582	1:0.93	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
609	1:0.89	0:0.97	0:0.99	1:0.96	0:0.98	0:0.97	0:0.99	1:0.97	0:0.97	0:0.97	0:0.97	0:0.98	0:0.98
678	0:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
694	0:1.00	0:0.98	0:0.98	0:0.98	0:0.98	1:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
721	1:0.99	1:1.00	1:0.99	1:0.99	1:0.99	1:0.98	0:1.00	1:0.99	1:0.99	1:1.00	1:0.99	1:0.99	1:0.99
725	1:0.69	0:0.98	1:0.98	1:0.63	0:0.98	0:0.99	0:0.99	1:0.99	0:0.98	1:0.97	1:0.99	1:0.99	1:0.99
732	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98
840	0:0.98	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
865	1:0.95	1:0.97	0:1.00	1:0.97	0:0.97	0:0.95	0:1.00	0:0.95	0:0.96	0:0.96	0:0.97	0:0.98	0:0.98
