Contig:MEG_1687|Drugs|betalactams|Class_A_betalactamases|CFX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
	5	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.79	0:0.99
	12	1:0.99	1:1.00	1:0.98	1:1.00	0:1.00	0:1.00	0:1.00
	17	1:0.90	1:0.88	1:0.93	1:0.95	0:0.99	0:1.00	0:1.00
	23	1:0.99	1:1.00	1:0.99	1:0.99	0:1.00	0:1.00	0:1.00
	24	1:0.99	1:1.00	1:0.99	1:0.99	0:0.99	0:1.00	0:1.00
	25	1:1.00	1:1.00	1:0.98	1:0.99	0:1.00	0:1.00	0:1.00
	27	1:1.00	1:1.00	1:0.99	1:0.99	0:1.00	0:1.00	0:1.00
	31	1:1.00	1:1.00	1:0.98	1:0.99	0:1.00	0:0.99	0:1.00
	37	1:1.00	1:1.00	1:1.00	1:1.00	1:1.00	1:0.98	1:0.99
	54	1:0.98	1:1.00	1:0.97	1:0.99	0:1.00	0:1.00	0:1.00
	57	1:0.89	1:0.84	1:0.94	1:0.93	1:0.99	0:1.00	1:0.90
	58	1:0.93	1:0.89	1:0.95	1:0.94	0:1.00	0:1.00	0:1.00
	60	1:0.96	1:0.94	1:0.97	1:0.97	0:1.00	0:1.00	0:1.00
	61	1:0.95	1:0.91	1:0.93	1:0.95	0:1.00	0:1.00	0:1.00
	63	1:1.00	1:1.00	1:0.99	1:1.00	0:0.99	0:1.00	0:1.00
	66	1:0.99	1:1.00	1:0.99	1:0.99	0:1.00	0:1.00	0:1.00
	69	1:0.99	1:0.97	1:0.98	1:0.99	1:0.67	0:0.99	0:1.00
	74	1:1.00	1:1.00	1:1.00	1:1.00	0:1.00	0:1.00	0:1.00
	82	1:0.97	1:0.97	1:0.97	1:0.98	0:1.00	0:1.00	0:1.00
	83	1:0.99	1:0.97	1:1.00	1:0.99	0:0.99	0:1.00	0:1.00
	91	1:1.00	1:1.00	1:1.00	1:1.00	0:1.00	0:1.00	0:1.00
	93	1:1.00	1:1.00	1:1.00	1:1.00	1:1.00	0:1.00	1:0.90
	94	1:1.00	1:0.97	1:0.98	1:0.99	0:1.00	0:1.00	0:0.98
	96	1:0.98	1:0.95	1:0.98	1:0.99	0:1.00	0:1.00	0:1.00
	99	1:0.96	1:0.97	1:0.96	1:0.96	0:1.00	0:1.00	0:0.99
	100	1:1.00	1:1.00	1:1.00	1:1.00	0:1.00	0:0.99	0:0.99
	105	1:0.99	1:1.00	1:1.00	1:0.99	0:1.00	0:1.00	0:0.99
	106	1:0.99	1:1.00	1:1.00	1:1.00	0:1.00	0:1.00	0:1.00
	114	1:1.00	1:0.95	1:0.99	1:1.00	0:1.00	0:1.00	0:0.99
	120	1:1.00	0:0.60	1:1.00	1:1.00	0:1.00	0:1.00	0:0.99
	124	1:0.99	1:0.95	1:1.00	1:1.00	1:0.99	0:0.99	1:0.97
	149	1:1.00	0:0.72	1:1.00	1:1.00	0:1.00	0:1.00	0:1.00
	150	1:0.99	0:0.70	1:1.00	1:1.00	0:1.00	0:1.00	0:0.99
	153	1:0.99	0:0.70	1:1.00	1:0.99	0:1.00	0:1.00	0:1.00
	156	1:0.99	0:0.71	1:1.00	1:0.99	0:1.00	0:0.99	0:0.99
	171	1:1.00	1:0.71	1:0.99	1:1.00	1:1.00	0:0.99	1:0.98
	180	1:0.98	0:0.87	1:0.94	1:0.96	0:1.00	0:1.00	0:0.98
	186	1:0.99	0:0.89	1:0.98	1:1.00	1:0.99	0:1.00	1:0.78
	187	1:1.00	1:0.70	1:0.95	1:0.98	0:0.99	0:0.99	0:0.91
	193	1:1.00	1:0.70	1:0.99	1:0.99	1:1.00	0:0.98	1:0.99
	203	1:1.00	1:0.70	1:0.99	1:1.00	1:0.99	0:0.98	1:0.99
	210	1:0.99	0:1.00	1:0.95	1:0.97	0:1.00	0:1.00	0:0.99
	216	1:0.98	0:0.95	1:0.93	1:0.97	0:0.99	0:1.00	0:1.00
	218	1:1.00	1:1.00	1:0.99	1:1.00	1:1.00	1:0.99	1:0.98
	219	1:1.00	0:0.93	1:0.98	1:1.00	1:1.00	0:0.99	0:1.00
	223	1:0.99	0:0.98	1:0.95	1:0.97	0:1.00	0:1.00	0:1.00
	234	1:0.98	0:0.89	1:0.96	1:0.97	0:1.00	0:1.00	0:0.99
	252	1:0.99	1:0.80	0:0.97	1:0.97	0:1.00	0:0.99	0:0.93
	282	1:0.99	0:0.96	0:0.95	1:0.99	1:1.00	0:1.00	1:0.93
	288	1:1.00	1:0.71	0:0.99	1:0.97	0:1.00	0:0.98	0:0.93
	294	1:0.99	0:0.98	0:0.99	1:0.95	0:1.00	0:1.00	0:0.99
	297	1:0.99	0:1.00	0:0.99	1:0.95	0:1.00	0:1.00	0:0.99
	303	1:0.99	0:0.98	0:1.00	1:0.95	0:1.00	0:1.00	0:0.98
	327	1:0.99	0:0.96	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99
	331	1:0.98	0:0.98	0:1.00	1:0.95	0:1.00	0:1.00	0:0.99
	337	1:0.98	0:1.00	0:1.00	1:0.95	0:1.00	0:0.99	0:0.98
	341	1:0.98	0:1.00	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99
	348	1:1.00	0:0.96	0:1.00	1:0.86	0:1.00	0:1.00	0:1.00
	349	1:1.00	0:0.98	0:1.00	1:0.86	0:1.00	0:1.00	0:1.00
	370	1:1.00	1:0.78	0:0.95	1:1.00	1:0.99	0:0.98	1:1.00
	384	1:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
	386	1:0.99	0:1.00	0:0.98	0:0.98	0:1.00	0:1.00	0:1.00
	388	1:1.00	0:0.98	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00
	389	1:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00
	390	1:0.99	0:1.00	0:1.00	0:0.98	0:1.00	0:0.99	0:1.00
	393	1:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00
	402	1:1.00	0:0.98	0:0.96	1:0.99	1:1.00	0:1.00	1:0.98
	405	1:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99
	417	1:1.00	0:0.94	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00
	420	1:1.00	0:0.96	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
	430	1:0.99	0:0.96	0:0.99	0:0.97	0:0.99	0:0.99	0:1.00
	433	1:0.99	0:0.96	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00
	438	1:0.99	1:0.81	0:0.98	0:0.98	0:1.00	0:0.98	0:0.99
