Contig:MEG_869xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
8	0:0.75	0:1.00	0:1.00	0:0.96
35	0:0.99	1:0.97	0:0.99	0:0.99
56	0:0.91	0:1.00	0:0.99	0:0.98
206	1:0.94	1:0.97	1:0.98	1:0.97
207	0:0.78	0:0.98	0:0.99	0:0.96
261	0:0.99	1:0.94	0:0.99	0:0.99
320	0:0.99	1:0.97	0:1.00	0:0.99
370	0:0.99	0:1.00	1:0.98	0:0.99
377	0:0.99	0:1.00	1:0.98	0:0.99
496	0:1.00	0:0.99	1:0.97	0:0.99
595	0:1.00	0:0.99	0:0.99	1:0.87
620	0:0.90	0:0.99	0:0.99	0:0.98
677	0:0.93	0:0.99	0:0.99	0:0.99
695	0:1.00	0:0.99	0:0.99	1:0.91
779	0:0.91	0:1.00	0:0.99	0:0.98
783	0:0.93	0:0.99	0:1.00	0:0.98
786	0:0.93	0:1.00	0:0.99	0:0.98
